top_words
"['save', 'problem', 'kind', 'describ', 'issu', 'file', 'work', 'pleas', 'type', 'design', 'help', 'creat', 'tri', 'want', 'thank', 'option', 'everyth', 'hello', 'slide', 'canva', 'ca', 'word', 'explain', 'differ', 'download', 'just', 'post', 'email', 'miss', 'edit']"
"['usersnap', 'url', 'report', 'id', 'save', 'problem', 'kind', 'issu', 'describ', 'error', 'download', 'edit', 'design', 'chang', 'ca', 'type', 'say', 'work', 'doe', 'document', 'paus', 'thi', 'file', 'wo', 'unabl', 'open', 'hello', 'project', 'allow', 'connect']"
"['usersnap', 'url', 'report', 'id', 'save', 'problem', 'thi', 'design', 'issu', 'error', 'kind', 'describ', 'work', 'pleas', 'edit', 'tri', 'chang', 'help', 'file', 'download', 'page', 'open', 'canva', 'ca', 'messag', 've', 'wa', 'say', 'connect', 'reload']"
"['download', 'problem', 'issu', 'kind', 'describ', 'file', 'tri', 'design', 'error', 'save', 'say', 'work', 'doe', 'complet', 'type', 'long', 'time', 've', 'hour', 'unabl', 'canva', 'page', 'just', 'end', 'project', 'pleas', 'prepar', 'help', 'technic', 'thi']"
"['thi', 'save', 'problem', 'issu', 'design', 'pleas', 'work', 'kind', 'describ', 'use', 'canva', 'fix', 'help', 'tri', 'time', 'download', 'creat', 'thank', 'becaus', 'need', 'ha', 'happen', 'realli', 'edit', 'version', 'like', 'look', 'hello', 'new', 'chang']"
"['download', 'issu', 'kind', 'problem', 'describ', 'design', 'unabl', 'complet', 'save', 'finish', 'project', 'file', 'wo', 'work', 'ca', 'doe', 'error', 'wont', 'say', 'help', 'noth', 'mp4', 'chang', 'let', 'want', 'document', 'creat', 'pleas', 'pdf', 'creation']"
"['design', 'save', 'problem', 'kind', 'issu', 'describ', 'pleas', 'miss', 'gone', 'help', 'canva', 'want', 'whi', 'hi', 'creat', 'differ', 'download', 'explain', 'click', 'work', 'tri', 'finish', 'camera', 'roll', 'just', 'trash', 'anoth', 'thank', 'thi', 'way']"
"['app', 'save', 'design', 'issu', 'problem', 'updat', 'phone', 'kind', 'use', 'canva', 'describ', 'thi', 'edit', 'tri', 'mobil', 'download', 'work', 'version', 've', 'chang', 'look', 'differ', 'new', 'crash', 'text', 'ha', 'make', 'pleas', 'way', 'restart']"
"['updat', 'problem', 'type', 'describ', 'new', 'edit', 'applic', 'like', 'app', 'thi', 'kind', 'design', 'version', 'need', 'save', 'issu', 'ca', 'alreadi', 'ask', 'canva', 'difficult', 'wa', 'pleas', 'befor', 'doe', 'did', 'bad', 'old', 'latest', 'avail']"
"['imag', 'save', 'problem', 'describ', 'kind', 'issu', 'type', 'download', 'whi', 'design', 'black', 'anim', 'edit', 'doe', 'differ', 'want', '300', 'thi', 'appear', 'long', 'canva', 'ppt', 'distort', 'text', 'background', 'ad', 'miss', 'align', 'chang', 'onli']"
"['ca', 'problem', 'save', 'type', 'describ', 'design', 'edit', 'kind', 'download', 'file', 'issu', 'work', 'make', 'anymor', 'canva', 'job', 'whi', 'want', 'latest', 'becaus', 'pleas', 'free', 'explain', 'websit', 'end', 'post', 'subscrib', 'phone', 'new', 'error']"
