top_words
"['problem', 'kind', 'issu', 'describ', 'chang', 'pictur', 'size', 'unauthor', 'make', 'pleas', 'account', 'canva', 'ca', 'copi', 'option', 'music', 'thi', 'use', 'veri', 'thank', 'unabl', 'switch', 'transact', 'thing', 'want', 'word', 'letter', 'test', 'anim', 'noth']"
"['thi', 'use', 'canva', 'problem', 'wa', 'issu', 'help', 'kind', 'time', 'describ', 'thank', 'need', 'like', 'account', 'pro', 'pleas', 'ani', 'tri', 'just', 'want', 'ca', 'month', 'respons', 'email', 'contact', 'whi', 'receiv', 'hello', 'guy', 'busi']"
"['need', 'help', 'account', 'pro', 'team', 'log', 'chang', 'canva', 'hello', 'ca', 'want', 'thi', 'pleas', 'use', 'profil', 'like', 'know', 'switch', 'phone', 'someon', 'number', 'rememb', 'delet', 'did', 'rid', 'user', 'dont', 'email', 'subject', 'disconnect']"
"['email', 'address', 'account', 'issu', 'problem', 'kind', 'describ', 'thi', 'pleas', 'help', 'need', 'canva', 'confirm', 'use', 'contact', 'chang', 'number', 'thank', 'receiv', 'sent', 'pro', 'wa', 'correct', 'hi', 'access', 'longer', 'ani', 'ha', 'password', 'charg']"
"['pro', 'canva', 'issu', 'problem', 'kind', 'describ', 'use', 'account', 'featur', 'purchas', 'access', 'pleas', 'ca', 'help', 'buy', 'thank', 'wa', 'hi', 'team', 'contact', 'free', 'doe', 'abl', 'did', 'need', 'tri', 'want', 'regard', 'email', 'say']"
"['cancel', 'subscript', 'account', 'issu', 'describ', 'problem', 'want', 'kind', 'pleas', 'thi', 'charg', 'canva', 'pro', 'did', 'tri', 'need', 'help', 'like', 'thank', 'use', 'wa', 'month', 'hi', 'option', 've', 'membership', 'immedi', 'time', 'app', 'whi']"
"['type', 'problem', 'describ', 'music', 'want', 'contact', 'issu', 'select', 'plan', 'ca', 'photo', 'number', 'urgent', 'renew', 'account', 'difficult', 'know', 'kind', 'chang', 'subscript', 'applic', 'annual', 'recoveri', 'thank', 'like', 'veri', 'unabl', 'eras', 'longer', '13']"
"['charg', 'issu', 'kind', 'subscript', 'problem', 'describ', 'account', 'wa', 'pleas', 'whi', 'activ', 'know', 'thi', 'thank', 'want', 'answer', 'unfamiliar', 'canva', 'ani', 'help', 'did', 'cancel', 'just', 'receiv', 'card', 'appear', 'hi', 'deign', 'remov', 'explain']"
"['card', 'credit', 'charg', 'issu', 'kind', 'account', 'problem', 'number', 'describ', 'pleas', 'updat', 'thank', 'someon', 'thi', 'canva', 'help', 'need', 'email', 'contact', 'cancel', 'did', 'wa', 'tri', 'busi', 'subscript', 'compani', 'alreadi', 'phone', 'inform', 'resolv']"
"['team', 'pro', 'problem', 'kind', 'issu', 'describ', 'canva', 'help', 'access', 'need', 'account', 'want', 'thank', 'pleas', 'creat', 'peopl', 'hi', 'like', 'ad', 'owner', 'use', 'share', 'featur', 'just', 'thi', 'someon', 'onli', 'ani', 'doe', 'user']"
"['trial', 'free', 'need', 'help', 'cancel', 'day', 'issu', 'problem', 'end', 'kind', '30', 'describ', 'pro', 'account', 'period', 'pleas', 'start', 'want', 'like', 'sign', 'canva', 'claim', 'extend', 'hi', 'thi', 'charg', 'tri', 'continu', 'thank', 'tell']"
"['number', 'problem', 'kind', 'describ', 'phone', 'vat', 'issu', 'pleas', 'account', 'need', 'thi', 'thank', 'help', 'canva', 'email', 'like', 'add', 'charg', 'pro', 'hi', 'contact', 'urgent', 'hello', 'invoic', 'card', 'someon', 'regard', 'telephon', 'enter', 'wa']"
"['work', 'problem', 'kind', 'describ', 'issu', 'canva', 'pro', 'doe', 'connect', 'help', 'need', 'thi', 'thank', 'just', 'time', 'account', 'phone', 'program', 'pleas', 'like', 'duoton', 'use', 'wa', 'slow', 'hello', 'tri', 'log', 'want', 'new', 'search']"
"['hi', 'issu', 'kind', 'problem', 'describ', 'pleas', 'thank', 'account', 'thi', 'canva', 'email', 'just', 'pro', 'help', 'ha', 'subscript', 'year', 'sign', 'regard', 'like', 'contact', 'brochur', 'look', 'check', 'mani', 'use', 'need', 'resolv', 'option', 'sinc']"
"['paid', 'pro', 'subscript', 'issu', 'problem', 'kind', 'account', 'describ', 'canva', 'use', 'pleas', 'thi', 'year', 'help', 'activ', 'function', 'invoic', 'servic', 'thank', 'appl', 'say', 'featur', 'alreadi', 'email', 'number', 'allow', 'hello', 'ha', 'need', 'access']"
"['member', 'team', 'pro', 'account', 'need', 'help', 'add', 'canva', 'problem', 'kind', 'issu', 'describ', 'access', 'hi', 'ad', 'featur', 'ca', 'free', 'pay', 'use', 'invit', 'abl', 'addit', 'mani', 'thank', 'current', 'want', 'pleas', 'thi', 'unabl']"
"['app', 'problem', 'issu', 'kind', 'describ', 'phone', 'updat', 'slow', 'version', 'canva', 'work', 'hang', 'thi', 'use', 'switch', 'mobil', 'crash', 'store', 'need', 'help', 'user', 'right', 'pro', 'day', 'open', 'veri', 'theme', 'type', 'fix', 'view']"
"['subscrib', 'pro', 'problem', 'canva', 'use', 'issu', 'describ', 'kind', 'alreadi', 'help', 'need', 'account', 'featur', 'say', 'pleas', 'work', 'tri', 'ask', 'tell', 'access', 'sign', 'ca', 'error', 'premium', 'contact', 'purchas', 'won', 'allow', 'unabl', 'whi']"
"['design', 'problem', 'kind', 'issu', 'describ', 'open', 'ca', 'canva', 'help', 'creat', 'thank', 'pleas', 'account', 'size', 'hello', 'miss', 'thi', 'new', 'use', 'look', 'ani', 'chang', 'team', 'make', 'know', 'wa', 'phone', 'differ', 'user', 'unabl']"
