top_words
"['issu', 'kind', 'problem', 'describ', 'cancel', 'subscript', 'thi', 'wa', 'pleas', 'charg', 'use', 'canva', 'app', 'thank', 'refund', 'account', 'help', 'tri', 'pro', 'time', 'money', 'hi', 'just', 'trial', 'did', 'need', 'want', 'pay', 'month', 'servic']"
"['refund', 'money', 'number', 'request', 'reason', 'invoic', 'pleas', 'becaus', 'wa', 'cancel', 'subscript', 'need', 'account', 'use', 'thi', 'did', 'want', 'pay', 'charg', 'canva', 'bank', 'ani', 'thank', 'right', 'just', 'like', 'tri', 'servic', 'today', 'year']"
"['refund', 'subscript', 'number', 'request', 'cancel', 'reason', 'invoic', 'thank', 'wa', 'thi', 'canva', 'use', 'hello', 'ask', 'like', 'charg', 'plan', 'possibl', 'pleas', 'advanc', 'hope', 'unfortun', 'account', 'pro', 'renew', 'want', 'day', 'regard', 'did', 'veri']"
"['renew', 'automat', 'refund', 'number', 'request', 'reason', 'subscript', 'invoic', 'cancel', 'wa', 'did', 'account', 'use', 'want', 'pleas', 'like', 'thi', 'thank', 'auto', 'ask', 'servic', 'ha', 'canva', 'realiz', 'plan', 'money', 'charg', 'longer', 'hello', 'need']"
"['issu', 'kind', 'describ', 'problem', 'cancel', 'charg', 'subscript', 'refund', 'pleas', 'wa', 'like', 'need', 'thank', 'money', 'account', 'did', 'thi', 'unauthor', 'canva', 'hi', 'sign', 'alreadi', 'whi', 'just', 'forgot', 'help', 'use', 'auto', 'today', 'pro']"
"['credit', 'card', 'problem', 'charg', 'describ', 'kind', 'issu', 'wa', 'cancel', 'thi', 'canva', 'subscript', 'refund', 'pro', 'account', 'pleas', 'thank', 'number', 'did', 'use', 'need', 'trial', 'want', 'just', 'money', 'receiv', 'ha', 'free', 'help', 'request']"
"['help', 'need', 'cancel', 'want', 'charg', 'subscript', 'pro', 'trial', 'canva', 'account', 'like', 'refund', 'free', 'pleas', 'wa', 'use', 'thi', 'month', 'tri', 'money', 'did', 'just', 'becaus', 'befor', 'today', 'thank', 'ani', 'app', 'let', 'immedi']"
"['thi', 'refund', 'use', 'invoic', 'request', 'number', 'reason', 'time', 'cancel', 'pleas', 'account', 'wa', 'subscript', 'thank', 'servic', 'charg', 'need', 'want', 'month', 'did', 'canva', 'like', 'money', 'sign', 'pay', 'free', 'hello', 'unus', 'just', 'trial']"
"['cancel', 'refund', 'subscript', 'number', 'invoic', 'request', 'reason', 'charg', 'wa', 'today', 'pleas', 'suppos', 'befor', 'thi', 'thank', 'alreadi', 'payment', 'whi', 'like', 'day', 'need', 'use', 'want', 'went', 'just', 'tri', 'abl', 'money', 'receiv', 'hello']"
"['trial', 'free', 'wa', 'refund', 'invoic', 'number', 'request', 'reason', 'cancel', 'charg', 'did', 'use', 'end', 'pleas', 'subscript', 'thank', 'canva', 'thi', 'pro', 'day', 'today', 'like', 'befor', 'sign', 'want', 'tri', 'receiv', 'realiz', 'just', 'hi']"
"['month', 'refund', 'use', 'number', 'request', 'invoic', 'reason', 'thi', 'cancel', 'charg', 'wa', 'subscript', 'like', 'canva', 'thank', 'did', 'pleas', 'know', 'just', 'want', 'pay', 'receiv', 'hi', 'time', 'need', 'past', 'servic', 'dure', 'hello', 'account']"
"['95', '12', 'charg', 'issu', 'kind', 'refund', 'problem', 'describ', 'subscript', 'wa', 'cancel', 'pleas', 'account', 'thi', 'canva', 'invoic', 'number', 'thank', 'like', 'month', 'request', 'card', 'did', 'use', 'receiv', 'reason', 'just', 'pro', 'payment', 'email']"
"['pro', 'canva', 'refund', 'use', 'reason', 'request', 'number', 'invoic', 'cancel', 'charg', 'want', 'subscript', 'wa', 'thank', 'pleas', 'need', 'account', 'like', 'hi', 'veri', 'trial', 'did', 'year', 'money', 'today', 'hello', 'free', 'thi', 'don', 'ani']"
"['email', 'account', 'thi', 'refund', 'address', 'request', 'number', 'pleas', 'wa', 'invoic', 'canva', 'reason', 'charg', 'use', 'cancel', 'subscript', 'thank', 'need', 'contact', 'payment', 'receiv', 'ha', 'ani', '2020', 'sent', 'time', 'pro', 'confirm', 'becaus', 'month']"
"['pro', 'canva', 'issu', 'describ', 'problem', 'kind', 'did', 'cancel', 'pleas', 'charg', 'subscript', 'wa', 'refund', 'subscrib', 'trial', 'account', 'use', 'want', 'like', 'hi', 'got', 'sign', 'tri', 'money', 'thank', 'alreadi', 'thi', 'need', 'free', 'just']"
"['payment', 'problem', 'kind', 'issu', 'describ', 'cancel', 'pleas', 'account', 'subscript', 'card', 'thi', 'canva', 'wa', 'thank', 'ha', 'pro', 'refund', 'updat', 'today', 'fail', 'receiv', 'charg', 'did', 'use', 'like', 'hello', 'month', 'email', 'ani', 'befor']"
"['email', 'issu', 'problem', 'kind', 'describ', 'account', 'pleas', 'cancel', 'canva', 'wa', 'subscript', 'charg', 'thi', 'sent', 'receiv', 'money', 'paypal', 'refund', 'thank', 'use', 'want', 'pro', 'did', 'say', 'hello', 'hi', 'like', 'payment', 'servic', 'trial']"
"['problem', 'describ', 'kind', 'subscript', 'money', 'cancel', 'hello', 'trial', 'charg', 'wa', 'pleas', 'pro', 'ask', 'canva', 'thank', 'annual', 'report', 'ha', 'want', 'did', 'refund', 'month', 'becaus', 'use', 'account', 'year', 'regard', 'possibl', 'veri', 'like']"
"['refund', 'number', 'invoic', 'request', 'reason', 'receiv', 'like', 'use', 'cancel', 'pleas', 'subscript', 'thi', 'canva', 'did', 'thank', 'hi', 'payment', 'don', 'wa', 'recent', 'becaus', 'app', 'pro', 'need', 'charg', 'remind', 'fee', 'ha', 'tri', 'money']"
"['problem', 'type', 'describ', 'subscript', 'cancel', 'charg', 'want', 'pro', 'wa', 'canva', 'alreadi', 'hello', 'did', 'annual', 'free', 'card', 'trial', 'month', 'like', 'took', 'subscrib', 'money', 'account', 'refund', 'renew', 'paid', 'appear', 'use', 'author', 'releas']"
"['want', 'refund', 'number', 'request', 'invoic', 'reason', 'subscript', 'did', 'renew', 'cancel', 'use', 'continu', 'thi', 'pleas', 'canva', 'thank', 'pro', 'didn', 'account', 'money', 'charg', 'trial', 'auto', 'wa', 'like', 'automat', 'free', 'month', 'hello', 'don']"
"['account', 'issu', 'kind', 'charg', 'problem', 'describ', 'thi', 'wa', 'cancel', 'pro', 'subscript', 'canva', 'pleas', 'today', 'refund', 'like', 'just', 'did', 'thank', 'receiv', 'use', 'bank', 'activ', 'hello', 'ha', 'money', 'sure', 'ani', 'hi', 'paypal']"
"['account', 'refund', 'number', 'request', 'reason', 'invoic', 'cancel', 'thi', 'charg', 'pleas', 'use', 'wa', 'subscript', 'like', 'canva', 'money', 'pro', 'thank', 'delet', 'need', 'want', 'did', 'hello', 'work', 'close', 'immedi', 'confirm', 'ani', 'tri', 'just']"
"['sinc', 'use', 'refund', 'number', 'request', 'invoic', 'reason', 'cancel', 'subscript', 'thi', 'haven', 'canva', 'pleas', 'wa', 'charg', 'thank', 'day', 'trial', 'like', 'app', '2020', 'onc', 'decemb', 'year', 'servic', 'provid', 'account', 'onli', 'month', 'did']"
"['problem', 'type', 'describ', 'charg', 'wa', 'pro', 'cancel', 'canva', 'becaus', 'card', 'month', 'subscript', 'use', '90', 'test', '34', 'did', 'want', 'hello', 'like', 'servic', 'free', 'account', 'alreadi', 'pay', 'thi', 'thank', 'good', 'period', 'today']"
"['servic', 'number', 'use', 'refund', 'request', 'reason', 'invoic', 'cancel', 'charg', 'subscript', 'need', 'thi', 'automat', 'pleas', 'forgot', 'money', 'did', 'free', 'realli', 'like', 'want', 'wa', 'thank', 'account', 'don', 'lawyer', 'pro', 'time', 'trial', 'canva']"
"['119', '40', 'refund', 'wa', 'charg', 'pleas', 'subscript', 'request', 'invoic', 'cancel', 'number', 'canva', 'reason', 'thi', 'account', 'use', 'thank', 'pro', 'issu', 'did', 'free', 'like', 'need', 'trial', 'problem', 'kind', 'describ', 'email', 'card', 'money']"
"['afford', 'thi', 'refund', 'invoic', 'request', 'number', 'reason', 'pleas', 'subscript', 'cancel', 'time', 'thank', 'renew', 'charg', 'use', 'pay', 'wa', 'covid', 'did', 'canva', 'right', 'thought', 'trial', 'just', 'befor', 'account', 'pro', 'unabl', 'unemploy', 'pandem']"
"['forgot', 'refund', 'cancel', 'number', 'request', 'invoic', 'reason', 'trial', 'subscript', 'free', 'pleas', 'use', 'thank', 'befor', 'canva', 'hi', 'like', 'renew', 'want', 'just', 'time', 'sign', 'thi', 'account', 'need', 'charg', 'pro', 'did', 'hello', 'possibl']"
"['end', 'trial', 'befor', 'refund', 'cancel', 'number', 'request', 'invoic', 'reason', 'subscript', 'free', 'period', 'charg', 'wa', 'did', 'pro', 'today', 'pleas', 'canva', 'thi', 'want', 'thank', 'day', 'use', 'receiv', 'alreadi', 'like', 'howev', 'forgot', 'time']"
"['usersnap', 'report', 'url', 'id', 'refund', 'number', 'subscript', 'wa', 'account', 'cancel', 'request', 'canva', 'charg', 'use', 'reason', 'thi', 'pro', 'money', 'problem', 'invoic', 'pleas', 'becaus', 'thank', 'describ', 'sinc', 'trial', 'free', 'need', 'ask', 'want']"
"['trial', 'free', 'kind', 'issu', 'problem', 'describ', 'cancel', 'charg', 'befor', 'wa', 'end', 'pro', 'subscript', 'canva', 'thank', 'sign', 'pleas', 'want', 'period', 'hi', 'like', 'refund', 'tri', 'did', 'month', 'thi', 'today', 'pay', 'option', 'hello']"
"['2021', 'januari', 'refund', 'cancel', 'subscript', 'wa', 'number', 'request', 'invoic', 'canva', 'reason', 'charg', '2020', '01', 'thank', 'pro', 'decemb', 'thi', 'account', 'like', 'jan', 'pleas', 'payment', 'today', 'free', 'use', 'date', '12', 'did', 'problem']"
"['realli', 'refund', 'appreci', 'request', 'number', 'invoic', 'reason', 'forgot', 'cancel', 'use', 'subscript', 'thank', 'thi', 'sorri', 'wa', 'did', 'money', 'canva', 'right', 'need', 'pleas', 'hello', 'hi', 'month', 'trial', 'afford', 'time', 'free', 'servic', 'just']"
"['thought', 'refund', 'cancel', 'invoic', 'number', 'request', 'reason', 'subscript', 'thi', 'pleas', 'use', 'alreadi', 'wa', 'thank', 'did', 'charg', 'trial', 'canva', 'like', 'need', 'renew', 'servic', 'free', 'month', 'today', 'time', 'want', 'pro', 'hello', 'receiv']"
